playerID,year,GP,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,fgPct,ftPct,threePct,allNBA,MVP,DPY
anderde01,2006,50,23.8,7.98,0.58,1.68,2.26,2.66,1.04,0.14,1.12,2.3,5.88,2.52,2.12,1.86,3.04,1.08,42.86,87.74,35.53,0,0,0
anderde01,2007,28,14.04,5.04,0.32,1.54,1.86,1.57,0.43,0.04,0.89,1.75,4.46,1.68,1.36,1.0,1.86,0.68,37.6,73.68,36.54,0,0,0
anderdw01,1982,5,6.6,4.2,0.0,0.4,0.4,0.6,0.2,0.0,1.0,1.4,2.8,1.4,2.0,1.4,0.0,0.0,50.0,70.0,,0,0,0
anderer01,1992,16,2.75,1.31,0.38,0.5,0.88,0.19,0.19,0.06,0.31,0.88,1.12,0.31,0.81,0.69,0.0,0.0,27.78,84.62,,0,0,0
anderer01,1993,11,3.55,1.91,0.55,1.0,1.55,0.18,0.0,0.09,0.18,0.82,1.55,0.64,1.27,0.45,0.18,0.18,41.18,35.71,100.0,0,0,0
andergr01,1987,82,24.2,11.67,1.96,4.29,6.26,0.96,0.66,1.49,1.74,2.78,9.22,4.62,4.0,2.41,0.06,0.01,50.13,60.37,20.0,0,0,0
andergr01,1988,82,29.28,13.74,3.11,5.13,8.24,0.74,1.24,1.26,2.2,2.7,11.15,5.61,4.91,2.52,0.04,0.0,50.33,51.36,0.0,0,0,0
andergr01,1989,60,21.52,8.82,1.87,4.35,6.22,0.4,0.53,0.9,1.33,2.93,7.2,3.65,2.83,1.52,0.0,0.0,50.69,53.53,,0,0,0
andergr01,1990,68,13.59,4.29,1.43,3.25,4.68,0.24,0.51,0.66,1.24,2.06,3.97,1.71,1.69,0.88,0.01,0.0,42.96,52.17,0.0,0,0,0
andergr01,1991,82,34.06,11.52,4.11,7.37,11.48,0.95,1.07,0.79,2.45,3.21,10.41,4.74,3.27,2.04,0.05,0.0,45.55,62.31,0.0,0,0,0
andergr01,1993,77,21.09,6.38,2.38,5.04,7.42,0.66,0.71,0.88,1.22,3.04,4.81,2.61,2.0,1.14,0.04,0.01,54.32,57.14,33.33,0,0,0
andergr01,1994,51,12.2,2.9,1.22,2.47,3.69,0.33,0.45,0.63,0.63,2.02,2.04,1.12,1.39,0.67,0.0,0.0,54.81,47.89,,0,0,0
andergr01,1995,46,7.48,1.17,0.63,1.54,2.17,0.22,0.2,0.54,0.48,1.43,1.02,0.52,0.54,0.13,0.02,0.0,51.06,24.0,0.0,0,0,0
