Player,playerID,pos,GP,minutes,fgMade,fgAttempted,fgPct,threeMade,threeAttempted,threePct,efgPct,ftMade,ftAttempted,ftPct,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,points,allNBA,MVP,DPY
Devin Harris,harride01,G,65,16.7,2.1,5.2,0.399,0.9,2.7,0.328,0.484,1.6,2,0.829,0.2,1.8,2,2.1,0.7,0.1,0.9,1.6,6.7,0,0,0
Gary Harris,harriga01,G,57,31.3,5.6,11.2,0.502,1.9,4.5,0.42,0.586,1.8,2.4,0.776,0.8,2.3,3.1,2.9,1.2,0.1,1.3,1.6,14.9,0,0,0
Joe Harris,harrijo01,G,52,21.9,3,7,0.425,1.6,4.3,0.385,0.543,0.7,0.9,0.714,0.3,2.5,2.8,1,0.6,0.2,1.1,2.3,8.2,0,0,0
Manny Harris,harrima01,G,4,6.3,0.8,3.8,0.2,0,0.5,0,0.2,0.5,1,0.5,0.8,1.5,2.3,0.5,0,0,0.5,0.3,2,0,0,0
Tobias Harris,harrito02,F,82,31.3,6.2,13,0.481,1.3,3.8,0.347,0.532,2.3,2.8,0.841,0.8,4.3,5.1,1.7,0.7,0.5,1.2,1.6,16.1,0,0,0
Aaron Harrison,harriaa01,G,5,3.4,0,0.8,0,0,0.4,0,0,0.2,0.4,0.5,0,0.6,0.6,0.6,0,0,0,0.4,0.2,0,0,0
Andrew Harrison,harrian01,G,72,20.5,1.6,5,0.325,0.6,2.2,0.276,0.385,2.1,2.7,0.763,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,5.9,0,0,0
Udonis Haslem,hasleud01,C,16,8.1,0.7,1.4,0.478,0,0.2,0,0.478,0.6,0.9,0.6,0.5,1.8,2.3,0.4,0.4,0.1,0.5,1.4,1.9,0,0,0
Spencer Hawes,hawessp01,F,54,14.8,2.5,5.1,0.484,0.5,1.5,0.309,0.529,0.8,1,0.846,0.7,2.8,3.5,1.5,0.3,0.6,0.9,1.4,6.2,0,0,0
Gordon Hayward,haywago01,F,73,34.5,7.5,15.8,0.471,2,5.1,0.398,0.536,5,5.9,0.844,0.7,4.7,5.4,3.5,1,0.3,1.9,1.6,21.9,0,0,0
Gerald Henderson,hendege02,G,72,23.2,3.3,7.7,0.423,0.8,2.4,0.353,0.478,1.8,2.3,0.806,0.5,2.1,2.6,1.6,0.6,0.2,0.9,1.8,9.2,0,0,0
John Henson,hensojo01,C,58,19.4,2.7,5.3,0.515,0,0,0,0.515,1.3,1.8,0.692,1.6,3.5,5.1,1,0.5,1.3,0.9,2.6,6.8,0,0,0
Juan Hernangomez,hernaju01,F,62,13.6,1.6,3.6,0.451,0.7,1.8,0.407,0.554,0.9,1.2,0.75,0.7,2.3,3,0.5,0.5,0.2,0.5,1,4.9,0,0,0
Willy Hernangomez,hernawi01,C,72,18.4,3.4,6.5,0.529,0.1,0.2,0.267,0.533,1.3,1.7,0.728,2.4,4.6,7,1.3,0.6,0.5,1.4,2.1,8.2,0,0,0
Mario Hezonja,hezonma01,F,65,14.8,1.8,5.1,0.355,0.7,2.2,0.299,0.42,0.6,0.8,0.8,0.3,1.9,2.2,1,0.5,0.2,0.9,1.1,4.9,0,0,0
Roy Hibbert,hibbero01,C,48,14.2,1.7,3.1,0.544,0,0,,0.544,1.3,1.6,0.813,1.1,2,3.2,0.4,0.2,1,0.7,2.1,4.6,0,0,0
Buddy Hield,hieldbu01,G,82,23,4,9.4,0.426,1.8,4.6,0.391,0.523,0.8,0.9,0.842,0.4,2.9,3.3,1.5,0.5,0.1,1.2,1.4,10.6,0,0,0
Nene Hilario,hilarne01,C,67,17.9,3.7,5.9,0.617,0,0.1,0.333,0.621,1.7,2.9,0.589,1.4,2.8,4.2,1,0.8,0.6,1.1,2.4,9.1,0,0,0
George Hill,hillge01,G,49,31.5,5.9,12.4,0.477,1.9,4.8,0.403,0.554,3.2,4,0.801,0.5,2.9,3.4,4.2,1,0.2,1.7,2.3,16.9,0,0,0
Jordan Hill,hilljo01,C,7,6.7,0.7,1.9,0.385,0,0,,0.385,0.3,0.3,1,1.1,0.9,2,0,0.1,0,0.6,1.3,1.7,0,0,0
Solomon Hill,hillso01,F,80,29.7,2.3,6,0.383,1.2,3.4,0.348,0.481,1.3,1.6,0.805,0.6,3.2,3.8,1.8,0.9,0.4,1,2.3,7,0,0,0
Darrun Hilliard,hillida01,G,39,9.8,1.2,3.2,0.373,0.3,1.2,0.261,0.421,0.5,0.7,0.75,0.1,0.8,0.8,0.8,0.3,0.1,0.7,1,3.3,0,0,0
Jrue Holiday,holidjr01,G,67,32.7,6,13.3,0.454,1.5,4.2,0.356,0.51,1.8,2.5,0.708,0.7,3.3,3.9,7.3,1.5,0.7,2.9,2,15.4,0,0,0
Justin Holiday,holidju01,G,82,20,2.8,6.6,0.433,1.2,3.3,0.355,0.523,0.8,1,0.825,0.3,2.4,2.7,1.2,0.8,0.4,0.8,1.3,7.7,0,0,0
Rondae Hollis-Jefferson,holliro01,F,78,22.6,3,6.9,0.434,0.2,0.9,0.224,0.447,2.4,3.2,0.751,1.2,4.6,5.8,2,1.1,0.6,1.5,2.3,8.7,0,0,0
Richaun Holmes,holmeri01,C,57,20.9,4,7.2,0.558,0.5,1.4,0.351,0.591,1.3,1.8,0.699,1.6,3.8,5.5,1,0.7,1,1,2.4,9.8,0,0,0
Rodney Hood,hoodro01,G,59,27,4.6,11.3,0.408,1.9,5.2,0.371,0.494,1.5,1.9,0.783,0.3,3.2,3.4,1.6,0.6,0.2,1.1,2.2,12.7,0,0,0
Al Horford,horfoal01,C,68,32.3,5.6,11.8,0.473,1.3,3.6,0.355,0.527,1.6,2,0.8,1.4,5.4,6.8,5,0.8,1.3,1.7,2,14,0,0,0
Danuel House,houseda01,G,1,1,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0,0,0
Dwight Howard,howardw01,C,74,29.7,5.2,8.3,0.633,0,0,0,0.633,3.1,5.7,0.533,4,8.7,12.7,1.4,0.9,1.2,2.3,2.7,13.5,0,0,0
Marcelo Huertas,huertma01,G,23,10.3,1.1,3,0.368,0.2,0.8,0.211,0.397,0.4,0.7,0.529,0.1,1,1,2.3,0.4,0.1,0.8,0.7,2.7,0,0,0
Josh Huestis,huestjo01,F,2,15.5,3,5.5,0.545,1,2,0.5,0.636,0,0.5,0,2,2.5,4.5,1.5,0,1.5,0,0,7,0,0,0
Kris Humphries,humphkr01,F,56,12.3,1.6,3.8,0.407,0.3,1,0.352,0.451,1.1,1.5,0.78,1.1,2.6,3.7,0.5,0.3,0.4,0.5,1.2,4.6,0,0,0
R.J. Hunter,hunterj01,G,3,3,0,0.3,0,0,0.3,0,0,0,0,,0,0.3,0.3,0,0,0,0,0,0,0,0,0
